loxcode, binary pedigree, fate path
1,0 1 0 1 1 1 1 1 1 1 ,0 
9 4 5 12 13,1 1 0 1 1 1 1 1 1 1 ,0 
1 2 -11 -10 -9 6 -3 12 13,0 1 1 0 0 1 0 1 1 0 ,0 
-13 -10 -9 12 11,1 1 1 0 0 1 0 1 1 0 ,0 
1 12 13,0 0 1 1 1 0 0 0 0 ,0 
-13 -8 1 2 7,1 0 1 1 1 0 0 0 0 ,0 
-3 -4 1 2 5 6 7 8 13,0 1 1 1 0 1 0 1 0 1 0 ,0 
1 2 -13 8 3 4 5 6 7 -12 -11 -10 -9,1 1 1 1 0 1 0 1 0 1 0 ,0 
1 4 5 6 7 8 11 12 13 -2 9 10 3,0 1 1 0 1 1 1 1 1 ,0 
13,1 1 1 0 1 1 1 1 1 ,0 
5 6 -3 12 13,0 0 0 0 1 1 1 0 1 0 ,0 
1,1 0 0 0 1 1 1 0 1 0 ,0 
-13 2 -5 -4 -3 6 7 -10 -9 -8 11 12 -1,0 0 0 1 1 1 1 0 0 0 ,0 
1 -4 9 10 -5 2 3,1 0 0 1 1 1 1 0 0 0 ,0 
1 2 3 10 11 12 13,0 1 0 1 0 1 1 0 1 ,0 
11 12 -9 -8 -7 -10 13,1 1 0 1 0 1 1 0 1 ,0 
1,0 1 1 0 0 1 0 1 0 1 0 ,0 
9 10 11 -2 -1 -8 -7 12 13,1 1 1 0 0 1 0 1 0 1 0 ,0 
13,0 1 1 0 0 0 0 0 0 ,0 
9 10 11 -6 -5 -4 -3 8 1 2 -7 12 13,1 1 1 0 0 0 0 0 0 ,0 
-11 -10 -13 -12 9,0 0 1 1 1 0 0 0 0 0 ,0 
11 12 13,1 0 1 1 1 0 0 0 0 0 ,0 
1 2 3,0 1 1 0 0 0 1 1 0 1 ,0 
-3 -2 -13 -12 1,1 1 1 0 0 0 1 1 0 1 ,0 
3 4 -1 -2 5 6 7 -12 -11 -10 -9 -8 13,0 1 0 0 0 1 0 0 0 ,0 
1 2 13,1 1 0 0 0 1 0 0 0 ,0 
1 2 11 12 13,0 0 0 1 0 1 1 0 1 1 ,0 
1 -2 -5 -4 -9 -8 -7 -10 -3 -6 11 12 13,1 0 0 1 0 1 1 0 1 1 ,0 
1 -6 -5,0 1 1 0 1 1 0 1 1 1 ,0 
1 2 3,1 1 1 0 1 1 0 1 1 1 ,0 
1 2 -7,0 0 1 1 1 0 1 0 0 ,0 
1 2 13,1 0 1 1 1 0 1 0 0 ,0 
1 8 9 10 11 12 13,0 1 1 0 0 0 1 0 0 ,0 
11 12 13,1 1 1 0 0 0 1 0 0 ,0 
-7 -6 3 4 5 -2 -1 8 13,0 0 1 0 0 1 1 0 0 ,0 
1 2 -13 10 11 12 -3,1 0 1 0 0 1 1 0 0 ,0 
1,0 0 0 0 1 0 0 0 1 1 ,0 
1 12 13,1 0 0 0 1 0 0 0 1 1 ,0 
-3,0 1 1 1 1 1 0 0 1 ,0 
1 2 -13 -4 -3,1 1 1 1 1 1 0 0 1 ,0 
-7 -6 9 10 11,0 0 1 1 0 1 1 1 1 0 ,0 
13,1 0 1 1 0 1 1 1 1 0 ,0 
1 2 11 12 -7 -6 3 -8 13,0 1 0 0 0 1 1 0 1 0 ,0 
5 6 7 -4 -3 -2 -1 8 13,1 1 0 0 0 1 1 0 1 0 ,0 
-3 -2 -1 4 -13 -12 -11,0 1 0 0 1 0 0 0 0 1 ,0 
1 6 7 -12 -11 2 3 4 5 -10 -9 -8 13,1 1 0 0 1 0 0 0 0 1 ,0 
1 10 -13 -12 -11,0 1 0 1 1 1 1 0 0 0 ,0 
1 -8 -3 10 11 12 13,1 1 0 1 1 1 1 0 0 0 ,0 
